ano;cod_ibge;n_fam_rua
2023;3542404;9
2023;3542503;0
2023;3542602;166
2023;3542701;5
2023;3542800;0
2023;3542909;2
2023;3543006;0
2023;3543105;4
2023;3543204;2
2023;3543238;0
2023;3543253;0
2023;3543303;82
2023;3543402;667
2023;3543501;4
2023;3543600;11
2023;3543709;1
2023;3543808;3
2023;3543907;473
2023;3544004;10
2023;3544103;57
2023;3544202;0
2023;3544251;0
2023;3544301;5
2023;3544400;0
2023;3544509;3
2023;3544608;5
2023;3544707;0
2023;3544806;1
2023;3544905;2
2023;3545001;5
2023;3545100;0
2023;3545159;1
2023;3545209;183
2023;3545308;55
2023;3545407;2
2023;3545506;0
2023;3545605;3
2023;3545704;0
2023;3545803;56
2023;3546009;6
2023;3546108;0
2023;3546207;1
2023;3546256;0
2023;3546306;25
2023;3546405;39
2023;3546504;1
2023;3546603;28
2023;3546702;18
2023;3546801;51
2023;3546900;5
2023;3547007;0
2023;3547106;1
2023;3547205;0
2023;3547304;4
2023;3547403;0
2023;3547502;15
2023;3547601;6
2023;3547650;0
2023;3547700;6
2023;3547809;526
2023;3547908;0
2023;3548005;17
2023;3548054;0
2023;3548104;1
2023;3548203;4
2023;3548302;0
2023;3548401;0
2023;3548500;1603
2023;3548609;1
2023;3548708;1165
2023;3548807;233
2023;3548906;483
2023;3549003;0
2023;3549102;115
2023;3549201;1
2023;3549250;0
2023;3549300;0
2023;3549409;74
2023;3549508;2
2023;3549607;0
2023;3549706;49
2023;3549805;1254
2023;3549904;931
2023;3549953;4
2023;3550001;2
2023;3550100;69
2023;3550209;15
2023;3550308;61299
2023;3550407;0
2023;3550506;8
2023;3550605;120
2023;3550704;213
2023;3550803;4
2023;3550902;10
2023;3551009;843
2023;3551108;4
2023;3551207;0
2023;3551306;0
2023;3551405;0
2023;3551504;33
2023;3551603;3
2023;3551702;135
2023;3551801;0
2023;3551900;2
2023;3552007;1
2023;3552106;16
2023;3552205;1020
2023;3552304;1
2023;3552403;239
2023;3552502;597
2023;3552551;0
2023;3552601;1
2023;3552700;3
2023;3552809;128
2023;3552908;0
2023;3553005;1
2023;3553104;4
2023;3553203;1
2023;3553302;15
2023;3553401;95
2023;3553500;4
2023;3553609;3
2023;3553658;0
2023;3553708;64
2023;3553807;12
2023;3553856;0
2023;3553906;1
2023;3553955;5
2023;3554003;162
2023;3554102;460
2023;3554201;0
2023;3554300;4
2023;3554409;4
2023;3554508;58
2023;3554607;0
2023;3554656;0
2023;3554706;5
2023;3554755;0
2023;3554805;31
2023;3554904;4
2023;3554953;0
2023;3555000;90
2023;3555109;8
2023;3555208;2
2023;3555307;0
2023;3555356;1
2023;3555406;242
2023;3555505;0
2023;3555604;3
2023;3555703;1
2023;3555802;0
2023;3555901;0
2023;3556008;0
2023;3556107;0
2023;3556206;136
2023;3556305;14
2023;3556354;3
2023;3556404;34
2023;3556453;56
2023;3556503;64
2023;3556602;6
2023;3556701;206
2023;3556800;0
2023;3556909;0
2023;3556958;0
2023;3557006;99
2023;3557105;77
2023;3557154;0
2023;3557204;2
2023;3557303;1
2022;3500105;7
2022;3500204;0
2022;3500303;2
2022;3500402;1
2022;3500501;4
2022;3500550;0
2022;3500600;0
2022;3500709;18
2022;3500758;0
2022;3500808;0
2022;3500907;2
2022;3501004;7
2022;3501103;0
2022;3501152;6
2022;3501202;0
2022;3501301;1
2022;3501400;1
2022;3501509;4
2022;3501608;127
2022;3501707;22
2022;3501806;0
2022;3501905;105
2022;3502002;0
2022;3502101;63
2022;3502200;0
2022;3502309;0
2022;3502408;1
2022;3502507;11
2022;3502606;1
2022;3502705;6
2022;3502754;1
2022;3502804;268
2022;3502903;25
2022;3503000;3
2022;3503109;2
2022;3503158;2
2022;3503208;167
2022;3503307;210
2022;3503356;0
2022;3503406;3
2022;3503505;0
2022;3503604;4
2022;3503703;0
2022;3503802;14
2022;3503901;61
2022;3503950;0
2022;3504008;49
2022;3504107;216
2022;3504206;0
2022;3504305;0
2022;3504404;1
2022;3504503;141
2022;3504602;23
2022;3504701;0
2022;3504800;2
2022;3504909;1
2022;3505005;0
2022;3505104;0
2022;3505203;19
2022;3505302;8
2022;3505351;0
2022;3505401;0
2022;3505500;192
2022;3505609;0
2022;3505708;522
2022;3505807;7
2022;3505906;199
2022;3506003;341
2022;3506102;76
2022;3506201;0
2022;3506300;1
2022;3506359;90
2022;3506409;2
2022;3506508;173
2022;3506607;1
2022;3506706;1
2022;3506805;1
2022;3506904;1
2022;3507001;64
2022;3507100;46
2022;3507159;0
2022;3507209;0
2022;3507308;0
2022;3507407;9
2022;3507456;0
2022;3507506;57
2022;3507605;156
2022;3507704;0
2022;3507753;0
2022;3507803;9
2022;3507902;25
2022;3508009;10
2022;3508108;5
2022;3508207;0
2022;3508306;1
2022;3508405;17
2022;3508504;71
2022;3508603;2
2022;3508702;1
2022;3508801;2
2022;3508900;0
2022;3509007;55
2022;3509106;0
2022;3509205;36
2022;3509254;28
2022;3509304;1
2022;3509403;14
2022;3509452;0
2022;3509502;2197
2022;3509601;60
2022;3509700;13
2022;3509809;2
2022;3509908;6
2022;3509957;0
2022;3510005;9
2022;3510104;0
2022;3510153;3
2022;3510203;9
2022;3510302;6
2022;3510401;15
2022;3510500;555
2022;3510609;406
2022;3510708;1
2022;3510807;25
2022;3510906;2
2022;3511003;8
2022;3511102;57
2022;3511201;1
2022;3511300;0
2022;3511409;1
2022;3511508;25
2022;3511607;3
2022;3511706;0
2022;3511904;0
2022;3512001;12
2022;3512100;3
2022;3512209;28
2022;3512308;10
2022;3512407;11
2022;3512506;1
2022;3512605;0
2022;3512704;3
2022;3512803;21
2022;3512902;5
2022;3513009;143
2022;3513108;32
2022;3513207;8
2022;3513306;0
2022;3513405;119
2022;3513504;167
2022;3513603;8
2022;3513702;40
2022;3513801;490
2022;3513850;0
2022;3513900;0
2022;3514007;1
2022;3514106;10
2022;3514205;0
2022;3514304;0
2022;3514403;70
2022;3514502;7
2022;3514601;0
2022;3514700;2
2022;3514809;1
2022;3514908;0
2022;3514924;0
2022;3514957;0
2022;3515004;154
2022;3515103;42
2022;3515129;0
2022;3515152;1
2022;3515186;43
2022;3515194;0
2022;3515202;1
2022;3515301;0
2022;3515350;1
2022;3515400;11
2022;3515509;38
2022;3515608;0
2022;3515657;0
2022;3515707;77
2022;3515806;0
2022;3515905;0
2022;3516002;1
2022;3516101;0
2022;3516200;619
2022;3516309;169
2022;3516408;183
2022;3516507;0
2022;3516606;3
2022;3516705;28
2022;3516804;0
2022;3516853;0
2022;3516903;6
2022;3517000;0
2022;3517109;0
2022;3517208;5
2022;3517307;0
2022;3517406;25
2022;3517505;4
2022;3517604;5
2022;3517703;2
2022;3517802;4
2022;3517901;0
2022;3518008;0
2022;3518107;0
2022;3518206;18
2022;3518305;8
2022;3518404;154
2022;3518503;1
2022;3518602;18
2022;3518701;292
2022;3518800;1112
2022;3518859;1
2022;3518909;0
2022;3519006;0
2022;3519055;9
2022;3519071;152
2022;3519105;8
2022;3519204;1
2022;3519253;4
2022;3519303;5
2022;3519402;5
2022;3519501;0
2022;3519600;50
2022;3519709;101
2022;3519808;1
2022;3519907;0
2022;3520004;12
2022;3520103;0
2022;3520202;5
2022;3520301;12
2022;3520400;29
2022;3520426;4
2022;3520442;14
2022;3520509;357
2022;3520608;0
2022;3520707;0
2022;3520806;0
2022;3520905;8
